ts_unix_ns,phase,kol_name,visibility,token_address,token_symbol,bnb_in_wei,gas_gwei,nonce,tx_hash,wallet_bnb,broadcast,limit_skip_reason
1781008491939108817,full,TRAIL_signal_dump,exit,0x4570793856386a272da907d32029b0a129764444,,0,3,498,0xdaaf6072c1810cbbaa1b9ad89995e3226b98968c75ddae88b4891becf6b40a45,0.067670,true,
1781015548766349704,full,D,public,0xc14c2ccab656d6ff5928502c3e7455de13d44444,,17045655792568400,10,499,0xce8b6e97a99ae28a85992aa9b683670adf000c50152940030ff110743b4ecaab,0.102915,true,
1781015552421990934,full,TRAIL_hard_sl,exit,0xc14c2ccab656d6ff5928502c3e7455de13d44444,,0,3,501,0xce9185dfb20e0f04d94ca49a2e1baeabc192dbf635621afc665baba0012882ca,0.083753,true,
1781015571272124610,full,D,public,0xb6b4febb2667fcc87280eab4c14e40b18a484444,,17045655792568400,10,502,0x4170dc74ae34c2d452ec969b1a651230b5d8a689a9d1d69ad1d95015767344b8,0.095345,true,
1781015582991334551,full,D,public,0x851257b72d18e996c701623b431f458f998f4444,,17041448594704634,10,504,0xd5e12a18814eade5ab2be5f3e095dc5d83025f90323874b757d078314849aa9c,0.076184,true,
1781015585752104081,full,TRAIL_hard_sl,exit,0xb6b4febb2667fcc87280eab4c14e40b18a484444,,0,3,506,0x760dacec835848f4b957edff3c3616d2f7b00086752d9f191a3a03066da86751,0.057166,true,
1781015589062637279,full,TRAIL_hard_sl,exit,0x851257b72d18e996c701623b431f458f998f4444,,0,3,507,0xe57c4b44b0f67b22481e89d90135a188a92e9504b619b217816bda5cf3bf0525,0.066359,true,
1781017922386759313,full,D,public,0x916ef401653690d321361062d106d9410b0c4444,,16917249757372598,10,508,0x8cf61b0b54683f7faa895a8c7656de3d54d34645646182f90cd568dc6e0660a0,0.080157,true,
1781017949270848082,full,TRAIL_hard_sl,exit,0x916ef401653690d321361062d106d9410b0c4444,,0,3,510,0x25d8939acdb4830b536c82a86e2de703af5525f072e4cc5f00c0e7e110d908d6,0.061124,true,
1781019261663666822,full,D,public,0x743eb9784ce5a491f1e4e3095d82ee1c9e0d4444,,17035852906449388,10,514,0xcb181d26a70fd5c6190e96af953a1fef6f3d630a99f1d645f4b9707f3d11d565,0.068904,true,
1781019272056203252,full,TRAIL_hard_sl,exit,0x743eb9784ce5a491f1e4e3095d82ee1c9e0d4444,,0,3,516,0x996ee523f1f3aa8f91f5d9da913d6904a0e4a3db5bb92307d7202c9362bb38ec,0.049753,true,
1781019304831088898,full,D,public,0xa53903ed8b489da67ecd96f31d9d9cfd33ee4444,,17016787060435120,10,517,0x15fc1683e0fc36bf4e5f9b9d43dc335286afe07b0527e876605090224a9417ea,0.060194,true,
1781019329752260556,full,TRAIL_hard_sl,exit,0xa53903ed8b489da67ecd96f31d9d9cfd33ee4444,,0,3,519,0x754bfa9b1ebdb522943901ccd13a5d311bea48b1b9ba68fbe093a7351af2dea0,0.041061,true,
1781071981403917231,full,D,public,0x14e6704556c9598f496662f0711149113fa04444,,17095424941419770,10,520,0x17580f2f1d488b4738082ac7420b4c25134d85710eabda0f6e6781d53be9413e,0.051992,true,
1781072368048115025,full,D,public,0x498109f2a09f9b07553939b9b71bc424f0974444,,17078503973604282,10,522,0xddc0fe6132f5794babe7f4345cda5b6f297c5353a4dc5b5b1813a01bd9beea00,0.032780,true,
1781072411140386380,full,TRAIL_be_locked,exit,0x498109f2a09f9b07553939b9b71bc424f0974444,,0,3,524,0x43131a2834187f98796d488cdae6a178b24b26accf39d4190b64f90a82d2045d,0.013586,true,
1781072426697627404,full,D,public,0xeabbe129359daf86b9be9cb8a3148beb1af24444,,17077414398459848,10,525,0x5d4a3cdc1964d91fd8715edee6385cc57f5ab67f66fc57548f90700ce799a1af,0.028202,true,
1781072457232843229,full,TRAIL_be_locked,exit,0xeabbe129359daf86b9be9cb8a3148beb1af24444,,0,3,527,0x435d4ae9aead85091495c74111df6233301f6ab8e6ed3749f3bf98fbbc808be5,0.009009,true,
1781072587573311507,full,TRAIL_be_locked,exit,0x14e6704556c9598f496662f0711149113fa04444,,0,3,528,0x2ab477028ac508e83601d26da70f17dfe77c9fae572112d40c22604ad86c7d32,0.025098,true,
1781085622947473775,full,D,public,0x3c8db7d7387331945ba72ecf61463dfb11e17777,,17117384615991834,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781085623395120236,full,D,public,0x3c8db7d7387331945ba72ecf61463dfb11e17777,,17117384615991834,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781085627008690058,full,D,public,0x2f701b108a9af5558960325a0239d0a13c2c4444,,17117384615991834,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781103937178530694,full,D,public,0x440db0d6d8bfce501cb935e1b24684e1bdaa4444,,16894377819682220,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781104511584939239,full,D,public,0x1c1d3c24528016b3384d9b546128fae605c24444,,16898142127320548,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781104640342028387,full,D,public,0x4d9393f7398b9dc2fe4025feac9449e220a64444,,16905108639930934,10,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.041501,false,daily_loss_halt
1781158384052726859,full,D,public,0xf9445fa42941be2854c9a678adfd8e01aaa44444,,16808883306608388,10,529,0xbaeaf214f8db0c5dae0c2036ced61ee7c2306938b9e0cae5b4503807e9798467,0.041501,true,
1781158403408840729,full,TRAIL_hard_sl,exit,0xf9445fa42941be2854c9a678adfd8e01aaa44444,,0,3,531,0x37ad8809315ea3c3bcab9a5fe8cb22dbe7444dfe815e3c1bbc7c1681bd69a2fc,0.022577,true,
1781161239351231734,full,D,public,0xd15ed916274947c42f6b30f8e73eb2fba4f47777,,16797841332712300,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.033520,false,unknown_venue
1781161432987467689,full,D,public,0xc7d23180faee037dbf6e136807dd935099247777,,16792582487935956,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.033520,false,unknown_venue
1781161782429766236,full,D,public,0xa4ce191058371ad1d3fa4a6b8714d3eb3cd64444,,16803511558068130,10,532,0xf0d339117b7559c8d234a2c441668eb648c0a425c9cb8d864c0b432aa10a5b91,0.033520,true,
1781162165123554522,full,TRAIL_hard_sl,exit,0xa4ce191058371ad1d3fa4a6b8714d3eb3cd64444,,0,3,534,0xd2162b4b7e001e372d378db97b3faae903fb29ec1a02e0839628782961c75343,0.014601,true,
1781168518951857405,full,D,public,0x200c5157bf87bf68a354f8cbc94e3647258f7777,,16655967256665832,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.025020,false,unknown_venue
1781168518952310052,full,D,public,0x200c5157bf87bf68a354f8cbc94e3647258f7777,,16655967256665832,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.025020,false,unknown_venue
1781179665880364256,full,D,public,0x4d576c37768106bfb045e801f55ea4b2aa224444,,16678252588976400,10,535,0xb402dcf758d95967ea9103852a3111b4d0d6085fc573a8696f2694bae1f59a18,0.025020,true,
1781179674442337474,full,TRAIL_be_locked,exit,0x4d576c37768106bfb045e801f55ea4b2aa224444,,0,3,537,0x50fa3800394f3ec4db6672b205afca3c2c001bc4a8db7191a7ae274f4b0ba369,0.006226,true,
1781180056453153214,full,D,public,0xc7d23180faee037dbf6e136807dd935099247777,,16673889812129270,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.022574,false,unknown_venue
1781184156659961287,full,D,public,0x099f988cde0a0bb03a90c776a1085a76c6c84444,,16667801062483758,10,538,0x30259108fce68ec2a3f02c1b95f2ddb0efb35dc4d3301e5a68b70a31de9e7630,0.022574,true,
1781184868057500744,full,D,public,0xf5468d90b23592ca6d3413877b19bb9a59584444,,16719337456406428,10,539,0xa785ba20fbf0bc31ff5832566f344e93c4a773877997a37efa72f652f79c9fe0,0.021103,true,
1781184880624992156,full,TRAIL_be_locked,exit,0xf5468d90b23592ca6d3413877b19bb9a59584444,,0,3,541,0xd8df0196155dfbdd1082b05a112167002a4ccfe8bd2095ba004938ff5f84e6c0,0.002268,true,
